timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510559654,-127401.6071,-48782.83761,1160.568431,1233.937369,1223.527049,-74.43156861,0,713449,26
1510559667,-178408.5,-88726.39683,1140,1232.605778,1210.79549,-47.5,0,713708,27
1510559674,-152887.2143,-121261.1182,1128.870283,1231.855778,1195.634102,-33.89575839,0,713375,28
1510559684,-50906.10714,-147604.6552,1140,1231.105778,1182.062673,-22.16981489,0,713225,29
1510559704,127350,-168802.3032,1140,1230.355778,1168.491245,-15.6524289,0,714020,30
1510559716,713460,-188751.5613,1140.003,1230.355778,1141.573619,-2.619926842,0,713562,31
1510559724,713295.8,-204130.5527,1146.85002,1217.903148,1139.144661,1.932807235,0,714116,32
1510559736,713764.4,-214921.2516,1150,1202.725671,1144.213255,3.605761367,0,714430,33
1510559749,713995.6667,-221165.1075,1155,1187.796886,1150.616673,3.195629141,0,715466,34
1510559763,715466,-222825.2086,1155,1173.857645,1155,3.518313696,0,716000,35
1510561028,0,-219777.8,1169,1160.524311,1169,4.983855409,0,714536,36
1510561367,715119.3333,-211967.8366,1152,1187.796886,1154.64167,2.364282839,0,712001,37
1510561373,715787.0952,-199564.2581,1152,1180.940978,1155.5,0.42857144,0,712000,38
1510561383,715853.9048,-182595.372,1152,1173.857645,1155.833333,-1.171428555,0,712469,39
1510561395,715008.7619,-161011.3054,1152,1167.190978,1155.333333,-1.885714271,0,712160,40
1510561404,713243.9048,-134861.5613,1152,1160.524311,1154.833333,-2.428571426,0,712640,41
1510561414,711987.2381,-104110.286,1152,1155.024311,1152,1.39E-13,0,712576,42
1510561423,712188.381,-68746.63226,1156,1148.107644,1152.666667,0.571428569,0,712325,43
1510561434,712337.8095,-28818.52473,1156,1147.393609,1153.333333,0.91428571,0,712843,44
1510561443,712300.7143,15710.37634,1156,1148.393609,1154,1.028571423,0,712813,45
1510561454,712485.619,64827.59355,1156,1150.321085,1154.666667,0.91428571,0,712987,46
1510561463,712470.5714,118545.329,1156,1151.321085,1155.333333,0.571428569,0,712977,47
1510561474,712545.5714,176862.6753,1156,1152.321085,1156,0,0,712981,48
1510561484,712900.8095,239797.3011,1156,1153.654168,1156,0,0,712692,49
1510561493,712909.619,307313.0194,1150,1154.416667,1155,-0.857142857,0,712973,50
1510561505,712955.4762,379428.0817,1156,1154.916667,1155,-0.514285714,0,712981,51
1510561516,712905.7143,456141.8774,1156,1155,1155,-0.171428571,0,713000,52
1510561526,712844.4762,537449.3505,1157.99112,1155.083333,1155.331853,0.455874286,0,713105,53
1510561537,712567.619,623284.4,1157.99112,1154,1155.663707,0.969398857,0,714319,54
1510561556,712650.381,713720.3118,1157.99112,1154.333333,1155.99556,1.369145143,0,714446,55
1510561537,712820.5714,713646.6667,1157.99112,1154.166667,1157.327413,0.455113143,0,714319,56
1510561563,713269.1429,713573.0043,1160,1154.5,1157.99408,0.571428571,0,713839,57
1510561574,713681.9048,713498.5226,1171,1154.833333,1160.49408,2.030601141,0,714604,58
1510561675,714117.2381,713408.7957,1158.26087,1155.332593,1160.539038,1.210979115,0,715321,59
1510561675,714117.2381,713408.7957,1158.26087,1155.332593,1160.539038,1.354837961,0,715321,60
1510561675,714060.8571,713113.8473,1158.26087,1155.99778,1160.628955,-0.474507763,0,715321,61
1510561683,714140.9048,712897.2774,1158.26087,1156.163707,1160.673913,-1.340372614,0,716007,62
1510561695,714689.9048,712621.8968,1157.102899,1156.49704,1160.191063,-1.985300211,0,716491,63
1510561705,714823,712131.6581,1157.102899,1157.74704,1157.874879,-0.264679154,0,717986,64
1510561715,714996.6667,711597.6774,1157.102899,1157.935446,1157.681884,-0.297764049,0,717800,65
1510561724,715573.0476,711285.8645,1157.102899,1158.123852,1157.488889,-0.264679156,0,717545,66
1510561735,716570.9524,711364.2817,1145,1158.312257,1155.278744,-1.894409974,0,717000,67
1510561743,717349.6667,711474.5419,1130,1159.000663,1150.568599,-4.909233945,0,717009,68
1510561753,717950.5714,711555.1269,1140,1159.092571,1147.718116,-5.112173902,0,717000,69
1510561765,717627.5238,711706.1441,1149,1159.18448,1146.367633,-3.052091087,0,717000,70
1510561765,717287.619,711824.3871,1142.1375,1159.110461,1143.8734,-1.509342633,0,717000,71
1510561783,717043.0476,711991.8172,1142.1375,1159.036443,1141.379167,0.888571445,0,716792,72
1510561797,717022.0476,712209.7376,1142.1375,1157.953849,1140.902083,1.721071447,0,716961,73
1510561808,716944.9048,712374.4108,1147.851287,1155.621256,1143.877298,0.533398173,0,717195,74
1510561819,716701.4762,712508.2968,1138,1153.954589,1143.543965,-1.081675389,0,718239,75
1510561828,716680.5714,712668.3806,1138,1152.121256,1141.710631,-0.782463237,0,718000,76
1510561828,716802.5238,712862.1398,1138,1150.777642,1141.021048,-1.227179644,0,718000,77
1510561848,717206,713087.772,1136.813026,1149.434028,1140.133636,-1.605035151,0,718000,78
1510561858,717588.8095,713358.8473,1136,1148.090414,1139.110719,-1.794781629,0,718423,79
1510561863,718021.2381,713628.4065,1132,1147.222948,1136.468838,-1.062484967,0,718440,80
1510561873,717924.0952,713928.557,1132,1145.63104,1135.468838,-1.394657897,0,718500,81
1510561889,718068.1429,714275.871,1132,1144.039132,1134.468838,-1.383973682,0,718266,82
1510561893,718122.7619,714602.8753,1132,1142.447224,1133.468838,-1.030432324,0,718935,83
